state,year,pop_tot,pop_male_pcp,pop_white_pcp,pop_black_pcp,pop_hisp_pcp,empl_notinlabor_pcp,rentpct_median,rentpct_50plus_pcp,hmls_unshelt_pcp,hmls_shelt_pcp,shelter_beds_pcp,temp_degf,precip_in,illicit_pastmon_pcp,restriction,conservative,moderate,liberal,undecided,clusterpred
AL,2011,4802740,0.48397643844971827,0.6668199819269833,0.26674252614132765,0.03877036858126819,0.4077159865843173,32.1,0.24108771557040962,0.00037665998992241926,0.0007805960764063847,0.0009363405056280373,41.1,4.03,0.06225612879314724,0,0.5,0.29,0.12,0.08,0
AL,2012,4822023,0.4845043252593362,0.6662075232739454,0.2646532378630297,0.03845709570443774,0.41521195866575306,29.9,0.22797101650352755,0.00032040494207514147,0.0007598470600409828,0.000891119764464002,50.1,5.44,0.06387360657549747,0,0.5,0.29,0.12,0.08,0
AL,2013,4833722,0.484485661359921,0.6629516550600137,0.2656549135428144,0.03929352991338766,0.4183955241831153,30,0.22290023385105645,0.00029852771839174863,0.0006715322064446404,0.0008424150168338187,50,6.27,0.06289149438052084,0,0.5,0.29,0.12,0.08,0
AL,2014,4849377,0.4841795141932665,0.6610199619456273,0.26639009505757133,0.03967788027204319,0.42269086089113606,31,0.2338419557177591,0.00021507917408772302,0.0007254540119277178,0.0007679336954004607,37.3,2.7,0.06701891810020133,0,0.5,0.29,0.12,0.08,0
AL,2015,4858979,0.4842190097960909,0.6594134282119762,0.2682246620123281,0.03969352409220126,0.4309363148519094,29.9,0.21562260140520753,0.0002113612756918686,0.0006056827987937384,0.0007435718491477324,43.6,4.34,0.08005797102642345,0,0.5,0.29,0.12,0.08,0
AL,2016,4863300,0.48445541093496186,0.657402792342648,0.26753480147225134,0.04105977422737647,0.42719051881589876,29.6,0.21085594989561587,0.00025044722719141325,0.0005948635700039068,0.0007174141015359941,43,4.06,0.059424670491230236,0,0.5,0.29,0.12,0.08,0
AL,2017,4874747,0.48410635464773866,0.6546903870088027,0.2682122785038895,0.041431893798796124,0.43497413464728507,28.9,0.20832469505459958,0.00023324287393786794,0.0005448487890756177,0.0007064982039067874,52.4,9.17,0.07241401451193262,0,0.5,0.29,0.12,0.08,0
AL,2018,4887871,0.4847245354879456,0.6530796332390932,0.267404765796806,0.043267303903887805,0.4322431885989316,29.1,0.20952832304819985,0.0002066339312146331,0.0004959214349151195,0.0006522267056556935,40.4,2.32,0.08981415426061776,0,0.5,0.29,0.12,0.08,0
AL,2019,4903185,0.4832799496653706,0.651200189264733,0.26912119367309206,0.044725214324974484,0.4204420979755187,28.7,0.2069019655509468,0.00024290333732053757,0.0004221745661238562,0.0005508664266186163,46.5,6.01,0.08851389453997759,0,0.5,0.29,0.12,0.08,0
AK,2011,722718,0.5159910227779023,0.6362592325083919,0.03202217185679615,0.05759784590946953,0.2889460191318206,27.7,0.17766107474373277,0.0005091889229270614,0.0024352513705207285,0.0026829275042270983,7,2.56,0.10654224746028187,0,0.34,0.37,0.23,0.06,2
AK,2012,731449,0.521012401411445,0.6295080039756702,0.03582888212301883,0.05972528501645364,0.29619238690056326,29,0.1931926613462873,0.0002693284152415274,0.002346028226164777,0.0025661392660322182,-12.8,2.79,0.10937194527574719,0,0.34,0.37,0.23,0.06,2
AK,2013,735132,0.5256253298727304,0.6246061931734709,0.03411224106691043,0.06597590636783598,0.28791778322998496,27.5,0.1718868176358055,0.0002788614833798556,0.002368282158850383,0.0025777683463650064,9.8,3.51,0.10202249391945936,0,0.34,0.37,0.23,0.06,2
AK,2014,736732,0.5233680632848852,0.6176045020441626,0.0336485994907239,0.06688456589370355,0.30006790533960565,30.6,0.19720670987581818,0.00019681512408854237,0.0022246895750422132,0.0024622250696318335,18.4,4.34,0.10451561761943284,0,0.34,0.37,0.23,0.06,2
AK,2015,738432,0.5263788676547062,0.6127470098803952,0.03544808459005027,0.070182494799792,0.29485835493259455,29,0.1994726521387501,0.00042928800485352747,0.002219567949384642,0.0025188507540301612,7.1,3.17,0.171986046108511,0,0.34,0.37,0.23,0.06,2
