state,year,prediction
AK,2011,2
AL,2011,0
AR,2011,0
AZ,2011,0
CA,2011,3
CO,2011,3
CT,2011,0
DC,2011,1
DE,2011,0
FL,2011,3
GA,2011,3
HI,2011,3
IA,2011,0
ID,2011,0
IL,2011,0
IN,2011,0
KS,2011,0
KY,2011,0
LA,2011,3
MA,2011,2
MD,2011,0
ME,2011,2
MI,2011,0
MN,2011,0
MO,2011,0
MS,2011,0
MT,2011,0
NC,2011,0
ND,2011,0
NE,2011,0
NH,2011,0
NJ,2011,0
NM,2011,0
NV,2011,3
NY,2011,2
OH,2011,0
OK,2011,0
OR,2011,3
PA,2011,0
PR,2011,0
RI,2011,0
SC,2011,0
SD,2011,0
TN,2011,0
TX,2011,0
UT,2011,0
VA,2011,0
VT,2011,0
WA,2011,2
WI,2011,0
WV,2011,0
WY,2011,3
AK,2012,2
AL,2012,0
AR,2012,0
AZ,2012,0
CA,2012,3
CO,2012,3
CT,2012,0
DC,2012,1
DE,2012,0
FL,2012,3
GA,2012,3
HI,2012,3
IA,2012,0
ID,2012,0
IL,2012,0
IN,2012,0
KS,2012,0
KY,2012,0
LA,2012,0
MA,2012,2
MD,2012,0
ME,2012,0
MI,2012,0
MN,2012,0
MO,2012,0
MS,2012,0
MT,2012,0
NC,2012,0
ND,2012,0
NE,2012,0
NH,2012,0
NJ,2012,0
NM,2012,0
NV,2012,3
NY,2012,2
OH,2012,0
OK,2012,0
OR,2012,3
PA,2012,0
PR,2012,0
RI,2012,0
SC,2012,0
SD,2012,0
TN,2012,0
TX,2012,0
UT,2012,0
VA,2012,0
VT,2012,0
WA,2012,2
WI,2012,0
WV,2012,0
WY,2012,3
AK,2013,2
AL,2013,0
AR,2013,0
AZ,2013,0
CA,2013,3
CO,2013,0
CT,2013,0
DC,2013,1
DE,2013,0
FL,2013,3
GA,2013,0
HI,2013,3
IA,2013,0
ID,2013,0
IL,2013,0
IN,2013,0
KS,2013,0
KY,2013,0
LA,2013,0
MA,2013,2
MD,2013,0
ME,2013,2
MI,2013,0
MN,2013,0
MO,2013,0
MS,2013,0
MT,2013,0
NC,2013,0
ND,2013,3
NE,2013,0
NH,2013,0
NJ,2013,0
NM,2013,0
NV,2013,3
NY,2013,2
OH,2013,0
OK,2013,0
OR,2013,3
PA,2013,0
PR,2013,0
RI,2013,0
SC,2013,0
SD,2013,0
TN,2013,0
TX,2013,0
UT,2013,0
VA,2013,0
VT,2013,2
WA,2013,2
WI,2013,0
WV,2013,0
WY,2013,0
AK,2014,2
AL,2014,0
AR,2014,0
AZ,2014,0
CA,2014,3
CO,2014,0
CT,2014,0
DC,2014,1
DE,2014,0
FL,2014,0
GA,2014,0
HI,2014,3
IA,2014,0
ID,2014,0
IL,2014,0
IN,2014,0
KS,2014,0
KY,2014,0
LA,2014,0
MA,2014,2
MD,2014,0
ME,2014,2
MI,2014,0
MN,2014,0
MO,2014,0
MS,2014,0
MT,2014,0
NC,2014,0
ND,2014,0
NE,2014,0
NH,2014,0
NJ,2014,0
NM,2014,0
NV,2014,3
NY,2014,2
