year	state	hmls_es	hmls_th	hmls_sh	hmls_unsh	es	th	sh	rrh	psh	oph
2007	AK	898	489		255	1095	663			489	
2007	AL	1452	2344		1656	1766	2607			2420	
2007	AR	1251	1034		1551	1483	1109			1538	
2007	AZ	3934	4684		6028	3736	5597			3019	
2007	CA	23920	24591		90475	20181	30897			26787	
2007	CO	3630	3341		7254	2780	3634			2110	
2007	CT	2262	1409		811	2331	1571			3504	
2007	DC	3248	1732		340	3001	2263			3639	
2007	DE	439	415		207	515	710			294	
2007	FL	8988	11541		27540	8913	12149			8366	
2007	GA	4267	4074		11298	4176	5057			2928	
2007	GU	33	70		622	79	138			50	
2007	HI	1039	1673		3358	1081	2019			844	
2007	IA	852	1589		293	1338	2215			828	
2007	ID	586	539		624	746	880			289	
2007	IL	5913	6258		3316	5204	8648			8826	
2007	IN	2871	3225		1262	3966	4201			1869	
2007	KS	1172	657		282	1727	1057			634	
2007	KY	2666	3274		2121	2807	3472			1901	
2007	LA	1388	2529		1577	1605	3022			2153	
2007	MA	7311	6402		1414	8446	6170			7932	
2007	MD	3564	2854		3210	2564	3487			4288	
2007	ME	664	1912		62	968	2030			1314	
2007	MI	7325	4227		16743	6316	5331			5027	
2007	MN	2899	2979		1445	3375	3803			5406	
2007	MO	2969	2168		1110	3534	3446			3867	
2007	MS	303	548		526	723	886			268	
2007	MT	502	353		295	655	555			317	
2007	NC	4745	3134		3923	4525	4306			2019	
2007	ND	405	172		59	615	342			386	
2007	NE	1798	1209		524	1606	1729			574	
2007	NH	725	548		975	792	886			656	
2007	NJ	10095	4741		2478	4174	3145			2316	
2007	NM	958	790		1267	1391	943			820	
2007	NV	1528	3290		3824	1937	3734			1405	
2007	NY	44686	12595		5320	45194	14362			30246	
2007	OH	5695	3685		1884	6873	5299			10502	
2007	OK	2154	935		1132	2232	1316			495	
2007	OR	3462	4867		9261	3980	9000			6941	
2007	PA	6445	8296		1479	6944	9587			9194	
2007	PR	546	822		2941	556	2016			1037	
2007	RI	688	635		49	753	703			943	
2007	SC	1680	1406		2574	1770	2104			868	
2007	SD	269	269		41	717	699			298	
2007	TN	3587	2859		4764	3130	3275			2503	
2007	TX	13840	9042		16906	12018	8776			4888	
2007	UT	1551	1147		313	1557	1688			1334	
2007	VA	4323	3244		2179	3604	4121			1891	
2007	VI	28	44		487	115	49			56	
2007	VT	340	380		315	528	351			485	
2007	WA	6450	10407		6522	6529	11058			5610	
2007	WI	2366	2719		563	3027	3228			1725	
2007	WV	1677	470		262	1269	646			470	
2007	WY	272	125		140	504	225			67	
2008	AK	847	605		194	1114	583	0		466	
2008	AL	1534	2309		1544	1639	2664	34		2415	
2008	AR	1048	972		1235	993	854	0		1512	
2008	AZ	3104	3866		5518	4244	5519	40		3518	
2008	CA	22917	24048		89566	19973	31841	202		27103	
2008	CO	3492	3385		7870	2744	3753	25		2327	
2008	CT	2409	1611		607	2334	1624	0		3605	
2008	DC	3463	2203		378	3045	2672	25		3116	
2008	DE	446	416		71	572	668	10		259	
2008	FL	9769	10955		29434	9208	12625	203		8990	
2008	GA	4420	4445		10230	4737	5400	15		3784	
2008	GU	33	70		622	97	147	0		59	
2008	HI	1114	1589		3358	1397	2450	25		728	
2008	IA	1018	2069		259	1601	2710	0		791	
2008	ID	630	620		214	882	990	0		316	
2008	IL	5660	5820		3244	5200	8484	131		9827	
