state	year	illicitusepastmon
Alabama	2014	325000
Alaska	2014	77000
Arizona	2014	614000
Arkansas	2014	215000
California	2014	3671000
Colorado	2014	737000
Connecticut	2014	302000
Delaware	2014	82000
District of Columbia	2014	85000
Florida	2014	1552000
Georgia	2014	794000
Hawaii	2014	110000
Idaho	2014	102000
Illinois	2014	1024000
Indiana	2014	497000
Iowa	2014	162000
Kansas	2014	188000
Kentucky	2014	306000
Louisiana	2014	324000
Maine	2014	155000
Maryland	2014	535000
Massachusetts	2014	759000
Michigan	2014	975000
Minnesota	2014	403000
Mississippi	2014	207000
Missouri	2014	465000
Montana	2014	95000
Nebraska	2014	105000
Nevada	2014	223000
New Hampshire	2014	144000
New Jersey	2014	597000
New Mexico	2014	189000
New York	2014	1737000
North Carolina	2014	704000
North Dakota	2014	44000
Ohio	2014	847000
Oklahoma	2014	266000
Oregon	2014	462000
Pennsylvania	2014	995000
Rhode Island	2014	131000
South Carolina	2014	320000
South Dakota	2014	40000
Tennessee	2014	393000
Texas	2014	1629000
Utah	2014	167000
Vermont	2014	79000
Virginia	2014	562000
Washington	2014	828000
West Virginia	2014	123000
Wisconsin	2014	401000
Wyoming	2014	34000
Alabama	2015	389000
Alaska	2015	127000
Arizona	2015	734000
Arkansas	2015	284000
California	2015	4936000
Colorado	2015	1033000
Connecticut	2015	479000
Delaware	2015	103000
District of Columbia	2015	134000
Florida	2015	2152000
Georgia	2015	1052000
Hawaii	2015	147000
Idaho	2015	152000
Illinois	2015	1339000
Indiana	2015	760000
Iowa	2015	235000
Kansas	2015	292000
Kentucky	2015	449000
Louisiana	2015	427000
Maine	2015	227000
Maryland	2015	757000
Massachusetts	2015	1058000
Michigan	2015	1266000
Minnesota	2015	579000
Mississippi	2015	212000
Missouri	2015	683000
Montana	2015	133000
Nebraska	2015	166000
Nevada	2015	309000
New Hampshire	2015	199000
New Jersey	2015	894000
New Mexico	2015	253000
New York	2015	2519000
North Carolina	2015	975000
North Dakota	2015	61000
Ohio	2015	1179000
Oklahoma	2015	358000
Oregon	2015	659000
Pennsylvania	2015	1339000
Rhode Island	2015	170000
South Carolina	2015	507000
South Dakota	2015	75000
Tennessee	2015	606000
Texas	2015	2213000
Utah	2015	211000
Vermont	2015	111000
Virginia	2015	796000
Washington	2015	1037000
West Virginia	2015	174000
Wisconsin	2015	584000
Wyoming	2015	52000
Alabama	2016	289000
Alaska	2016	103000
Arizona	2016	568000
Arkansas	2016	219000
California	2016	4097000
Colorado	2016	785000
Connecticut	2016	335000
Delaware	2016	82000
District of Columbia	2016	98000
Florida	2016	1696000
Georgia	2016	791000
Hawaii	2016	119000
Idaho	2016	123000
Illinois	2016	997000
Indiana	2016	549000
Iowa	2016	176000
Kansas	2016	191000
Kentucky	2016	320000
Louisiana	2016	341000
Maine	2016	171000
Maryland	2016	579000
Massachusetts	2016	818000
Michigan	2016	1024000
Minnesota	2016	417000
Mississippi	2016	197000
Missouri	2016	523000
Montana	2016	115000
Nebraska	2016	134000
Nevada	2016	252000
New Hampshire	2016	154000
New Jersey	2016	614000
New Mexico	2016	206000
New York	2016	1871000
North Carolina	2016	830000
North Dakota	2016	44000
Ohio	2016	1008000
Oklahoma	2016	243000
Oregon	2016	594000
Pennsylvania	2016	1140000
Rhode Island	2016	150000
South Carolina	2016	348000
South Dakota	2016	63000
Tennessee	2016	515000
Texas	2016	1685000
Utah	2016	176000
Vermont	2016	99000
Virginia	2016	575000
Washington	2016	818000
West Virginia	2016	130000
Wisconsin	2016	414000
Wyoming	2016	38000
Alabama	2017	353000
Alaska	2017	98000
Arizona	2017	624000
Arkansas	2017	260000
California	2017	4309000
Colorado	2017	829000
Connecticut	2017	377000
Delaware	2017	95000
District of Columbia	2017	117000
Florida	2017	1836000
Georgia	2017	711000
Hawaii	2017	111000
Idaho	2017	125000
Illinois	2017	1076000
Indiana	2017	621000
Iowa	2017	212000
Kansas	2017	197000
Kentucky	2017	336000
Louisiana	2017	356000
Maine	2017	189000
Maryland	2017	599000
Massachusetts	2017	940000
Michigan	2017	1129000
Minnesota	2017	422000
Mississippi	2017	227000
Missouri	2017	526000
Montana	2017	126000
Nebraska	2017	141000
Nevada	2017	332000
New Hampshire	2017	165000
New Jersey	2017	641000
New Mexico	2017	233000
New York	2017	1858000
North Carolina	2017	828000
North Dakota	2017	47000
Ohio	2017	990000
Oklahoma	2017	270000
Oregon	2017	732000
Pennsylvania	2017	1102000
Rhode Island	2017	159000
South Carolina	2017	348000
South Dakota	2017	60000
Tennessee	2017	538000
Texas	2017	1736000
Utah	2017	196000
Vermont	2017	105000
Virginia	2017	575000
Washington	2017	1034000
West Virginia	2017	140000
Wisconsin	2017	445000
Wyoming	2017	41000
Alabama	2018	439000
Alaska	2018	106000
Arizona	2018	736000
Arkansas	2018	266000
California	2018	4443000
Colorado	2018	928000
Connecticut	2018	439000
Delaware	2018	107000
District of Columbia	2018	118000
Florida	2018	1931000
Georgia	2018	821000
Hawaii	2018	119000
Idaho	2018	134000
