statecode	year	illicitusepastmon	illicitusepastmon_pcp
AL	2014	325000.0	0.06701891810020133
AL	2015	389000.0	0.08005797102642345
AL	2016	289000.0	0.059424670491230236
AL	2017	353000.0	0.07241401451193262
AL	2018	439000.0	0.08981415426061776
AL	2019	434000.0	0.08851389453997759
AL	2021	403000.0	0.07996226892045183
AL	2013	304000.0	0.06289149438052084
AL	2012	308000.0	0.06387360657549747
AL	2011	299000.0	0.06225612879314724
AK	2014	77000.0	0.10451561761943284
AK	2015	127000.0	0.171986046108511
AK	2016	103000.0	0.13883384957958952
AK	2017	98000.0	0.13246912996167856
AK	2018	106000.0	0.14374089753986097
AK	2019	110000.0	0.15036668967732675
AK	2021	127000.0	0.1733379010827477
AK	2013	75000.0	0.10202249391945936
AK	2012	80000.0	0.10937194527574719
AK	2011	77000.0	0.10654224746028187
AZ	2014	614000.0	0.09121317082533362
AZ	2015	734000.0	0.10749751210628487
AZ	2016	568000.0	0.08194981699076521
AZ	2017	624000.0	0.08893614413356385
AZ	2018	736000.0	0.10262637057099584
AZ	2019	765000.0	0.10510094017942997
AZ	2021	1133000.0	0.15571066457256666
AZ	2013	564000.0	0.08511121198365865
AZ	2012	509000.0	0.07767132516589084
AZ	2011	509000.0	0.07851902929500247
AR	2014	215000.0	0.07247918246179083
AR	2015	284000.0	0.09535948511250404
AR	2016	219000.0	0.0732870899604049
AR	2017	260000.0	0.08654322717696991
AR	2018	266000.0	0.08825993546406974
AR	2019	236000.0	0.0782025605373974
AR	2021	281000.0	0.092865208958287
AR	2013	194000.0	0.06555442656265364
AR	2012	182000.0	0.0617130944674889
AR	2011	182000.0	0.06194734543711851
CA	2014	3671000.0	0.09460730623026867
CA	2015	4936000.0	0.12609587302206898
CA	2016	4097000.0	0.10438212039500518
CA	2017	4309000.0	0.10898747549520695
CA	2018	4443000.0	0.1123188044000759
CA	2019	5034000.0	0.12740361381337617
CA	2021	5207000.0	0.13270354664818926
CA	2013	3527000.0	0.09201064547776547
CA	2012	3437000.0	0.09034886438285837
CA	2011	3213000.0	0.0852437520282866
CO	2014	737000.0	0.13760613129604063
CO	2015	1033000.0	0.1893129278554639
CO	2016	785000.0	0.14168281279188238
CO	2017	829000.0	0.14784683994768114
CO	2018	928000.0	0.16293382007471077
CO	2019	924000.0	0.16045187693966176
CO	2021	995000.0	0.1711954899365441
CO	2013	641000.0	0.12166957996661963
CO	2012	518000.0	0.09985384327418824
CO	2011	559000.0	0.10924805288309325
CT	2014	302000.0	0.08396639453584517
CT	2015	479000.0	0.1333932628326268
CT	2016	335000.0	0.09366824998629927
CT	2017	377000.0	0.10506707571295118
CT	2018	439000.0	0.12287745982340914
CT	2019	434000.0	0.1217293306261179
CT	2021	482000.0	0.13368105198667515
CT	2013	302000.0	0.08398033414162087
CT	2012	290000.0	0.08077213706641725
CT	2011	271000.0	0.07568333533945372
DE	2014	82000.0	0.0876429809729226
DE	2015	103000.0	0.10888708937410009
DE	2016	82000.0	0.08612857315414389
DE	2017	95000.0	0.09875886100885815
DE	2018	107000.0	0.11063193582106991
DE	2019	118000.0	0.12117925904017811
DE	2021	144000.0	0.14351434744823519
DE	2013	74000.0	0.07993527403216207
DE	2012	71000.0	0.07741862321337445
DE	2011	67000.0	0.07385890743935578
DC	2014	85000.0	0.12900425410499125
DC	2015	134000.0	0.19933712966434008
DC	2016	98000.0	0.14387010584729215
