state	conservative	moderate	liberal	undecided	sample_size
AL	0.5	0.29	0.12	0.08	511
AK	0.34	0.37	0.23	0.06	310
AZ	0.39	0.31	0.23	0.07	653
AR	0.42	0.38	0.14	0.06	311
CA	0.31	0.34	0.29	0.06	3697
CO	0.33	0.34	0.28	0.05	504
CT	0.33	0.36	0.25	0.06	377
DE	0.26	0.4	0.25	0.09	301
DC	0.15	0.39	0.36	0.1	303
FL	0.37	0.31	0.24	0.08	2020
GA	0.42	0.32	0.2	0.06	968
HI	0.3	0.42	0.21	0.06	312
ID	0.42	0.32	0.21	0.05	320
IL	0.32	0.35	0.27	0.06	1326
IN	0.41	0.31	0.2	0.08	654
IA	0.41	0.31	0.23	0.06	330
KS	0.39	0.31	0.27	0.03	307
KY	0.42	0.29	0.23	0.06	439
LA	0.5	0.3	0.14	0.06	465
ME	0.34	0.33	0.3	0.03	303
MD	0.26	0.36	0.29	0.09	644
MA	0.23	0.35	0.36	0.06	704
MI	0.35	0.33	0.24	0.08	982
MN	0.35	0.32	0.27	0.07	563
MS	0.45	0.3	0.19	0.06	309
MO	0.39	0.32	0.21	0.08	642
MT	0.44	0.31	0.21	0.05	312
NE	0.41	0.29	0.21	0.09	312
NV	0.33	0.37	0.24	0.05	314
NH	0.34	0.34	0.28	0.04	303
NJ	0.29	0.37	0.28	0.07	886
NM	0.34	0.36	0.23	0.07	312
NY	0.29	0.34	0.31	0.06	1966
NC	0.4	0.32	0.23	0.05	1022
ND	0.45	0.3	0.22	0.03	338
OH	0.4	0.32	0.21	0.07	1132
OK	0.38	0.37	0.19	0.06	391
OR	0.3	0.34	0.3	0.06	419
PA	0.36	0.34	0.23	0.08	1366
RI	0.26	0.35	0.3	0.08	305
SC	0.43	0.35	0.15	0.06	495
SD	0.47	0.32	0.15	0.05	305
TN	0.46	0.27	0.19	0.08	661
TX	0.39	0.32	0.21	0.07	2535
UT	0.45	0.31	0.2	0.04	315
VT	0.3	0.32	0.35	0.03	306
VA	0.39	0.37	0.19	0.05	882
WA	0.3	0.33	0.3	0.07	714
WV	0.47	0.3	0.16	0.06	309
WI	0.41	0.36	0.19	0.04	600
WY	0.41	0.33	0.17	0.09	316
