state	yyyymm	year	temp_degf	precip_in
AL	200701	2007	46.7	4.34
AL	200801	2008	43	4.09
AL	200901	2009	45.3	4.42
AL	201001	2010	40	6.21
AL	201101	2011	41.1	4.03
AL	201201	2012	50.1	5.44
AL	201301	2013	50	6.27
AL	201401	2014	37.3	2.7
AL	201501	2015	43.6	4.34
AL	201601	2016	43	4.06
AL	201701	2017	52.4	9.17
AL	201801	2018	40.4	2.32
AL	201901	2019	46.5	6.01
AL	202001	2020	49.5	7.44
AL	202101	2021	46.6	3.72
AL	202201	2022	43.8	4.83
AL	202301	2023	51.4	6.91
AK	200701	2007	5.5	3.29
AK	200801	2008	0.4	2.82
AK	200901	2009	-0.2	4.05
AK	201001	2010	1.5	1.93
AK	201101	2011	7	2.56
AK	201201	2012	-12.8	2.79
AK	201301	2013	9.8	3.51
AK	201401	2014	18.4	4.34
AK	201501	2015	7.1	3.17
AK	201601	2016	17.2	2.71
AK	201701	2017	4.5	2.9
AK	201801	2018	6.7	2.44
AK	201901	2019	7.5	2.5
AK	202001	2020	-6.4	1.89
AK	202101	2021	10.6	3.14
AK	202201	2022	3.6	3.57
AK	202301	2023	10.9	3.01
AZ	200701	2007	39	0.79
AZ	200801	2008	39.8	1.99
AZ	200901	2009	45.2	0.52
AZ	201001	2010	42.2	3.41
AZ	201101	2011	41.5	0.05
AZ	201201	2012	45.3	0.26
AZ	201301	2013	38.6	1.3
AZ	201401	2014	46.5	0.03
AZ	201501	2015	45.1	1.79
AZ	201601	2016	41.8	1.4
AZ	201701	2017	42.3	2.07
AZ	201801	2018	47.6	0.56
AZ	201901	2019	42.4	1.5
AZ	202001	2020	43.7	0.45
AZ	202101	2021	42.6	1.31
AZ	202201	2022	43.7	0.3
AZ	202301	2023	40.4	2.21
AR	200701	2007	39.9	6.92
AR	200801	2008	39	1.73
AR	200901	2009	38.4	2.74
AR	201001	2010	36.5	3.92
AR	201101	2011	37.6	1.6
AR	201201	2012	44.6	2.92
AR	201301	2013	42.1	6.04
AR	201401	2014	35.2	1.98
AR	201501	2015	38.6	3.49
AR	201601	2016	39.5	2.02
AR	201701	2017	45.2	3.02
AR	201801	2018	35.7	2.7
AR	201901	2019	40.8	4.51
AR	202001	2020	43.9	6.15
AR	202101	2021	41.4	4.12
AR	202201	2022	38.8	3.39
AR	202301	2023	46.5	5.84
CA	200701	2007	41.5	0.81
CA	200801	2008	41.1	7.11
CA	200901	2009	46.9	1.27
CA	201001	2010	45.2	6.48
CA	201101	2011	45.2	1.28
CA	201201	2012	46.5	3.12
CA	201301	2013	42.1	1.19
CA	201401	2014	50.1	0.54
CA	201501	2015	48.6	0.65
CA	201601	2016	44.5	6.39
CA	201701	2017	42.2	9.92
CA	201801	2018	48.9	3.33
CA	201901	2019	46.1	5.23
CA	202001	2020	45.3	2.06
CA	202101	2021	45.5	3.65
CA	202201	2022	46.6	0.45
CA	202301	2023	42.6	8.25
CO	200701	2007	19.4	1
CO	200801	2008	20.9	1.6
CO	200901	2009	28.3	0.98
CO	201001	2010	26.1	0.88
CO	201101	2011	24	0.71
CO	201201	2012	29.4	0.69
CO	201301	2013	22.9	0.91
CO	201401	2014	26.4	1.18
CO	201501	2015	29.2	0.65
CO	201601	2016	25.6	1.02
CO	201701	2017	25.3	2.29
CO	201801	2018	29.7	0.81
CO	201901	2019	26	1.38
CO	202001	2020	27.4	0.72
CO	202101	2021	26.7	0.74
CO	202201	2022	26.6	0.78
CO	202301	2023	24	1.9
CT	200701	2007	31.3	3.43
CT	200801	2008	29.7	2.45
CT	200901	2009	21	3
CT	201001	2010	27	2.94
CT	201101	2011	23.2	3.36
CT	201201	2012	31.7	2.86
CT	201301	2013	28.8	1.72
CT	201401	2014	23.6	2.8
CT	201501	2015	23.3	3.47
CT	201601	2016	29.7	2.14
CT	201701	2017	32.7	3.56
CT	201801	2018	25.4	3.86
CT	201901	2019	27	5.9
CT	202001	2020	33	2.05
CT	202101	2021	29.2	2.12
CT	202201	2022	24.2	2.59
CT	202301	2023	36.9	5.9
DE	200701	2007	40.1	3.95
DE	200801	2008	36.7	1.86
DE	200901	2009	30.7	2.36
DE	201001	2010	33.4	2.85
DE	201101	2011	30.3	3.18
DE	201201	2012	39.3	2.12
DE	201301	2013	37.4	3.03
DE	201401	2014	30	3.09
DE	201501	2015	32.1	4.96
DE	201601	2016	34.3	2.67
DE	201701	2017	39.1	3
DE	201801	2018	32.8	2.98
DE	201901	2019	35.3	3.45
DE	202001	2020	40.2	3.19
DE	202101	2021	36.2	2.34
DE	202201	2022	31.6	4.17
DE	202301	2023	43.1	2.41
FL	200701	2007	61.3	2.53
FL	200801	2008	58.3	2.85
FL	200901	2009	57.2	1.85
FL	201001	2010	52.5	4.23
FL	201101	2011	54.9	4.24
FL	201201	2012	59.3	1.13
FL	201301	2013	64	0.8
FL	201401	2014	54.5	3.91
FL	201501	2015	58.6	2.84
FL	201601	2016	56.9	6.05
FL	201701	2017	62.8	3.71
FL	201801	2018	55	2.96
FL	201901	2019	58.4	3.98
FL	202001	2020	61.8	1.57
FL	202101	2021	58.7	1.79
FL	202201	2022	57.6	2.27
FL	202301	2023	61.8	1.76
GA	200701	2007	49.2	4.24
GA	200801	2008	45	3.4
GA	200901	2009	46.3	2.65
GA	201001	2010	41.8	6.05
GA	201101	2011	41.8	3.33
GA	201201	2012	50	3.04
GA	201301	2013	52.5	3.32
GA	201401	2014	40	3.33
GA	201501	2015	44.9	3.64
GA	201601	2016	44.4	3.78
GA	201701	2017	53.2	7.72
GA	201801	2018	42.5	2.82
GA	201901	2019	48.2	4.94
GA	202001	2020	51.4	4.94
GA	202101	2021	47.7	4.61
GA	202201	2022	45.9	3.99
GA	202301	2023	51.5	6.77
ID	200701	2007	20.7	1.36
ID	200801	2008	19.9	3.53
ID	200901	2009	25	2.72
ID	201001	2010	28.2	2.54
ID	201101	2011	24	2.79
ID	201201	2012	26.8	3.33
ID	201301	2013	20.2	1.9
ID	201401	2014	27.7	2.02
ID	201501	2015	28.7	2.06
ID	201601	2016	25.8	2.66
ID	201701	2017	18.5	3.33
ID	201801	2018	30.4	2.78
ID	201901	2019	26.3	2.22
ID	202001	2020	27.3	3.96
ID	202101	2021	26.6	2.33
ID	202201	2022	23.7	2.31
ID	202301	2023	23.7	1.89
IL	200701	2007	30.3	2.93
IL	200801	2008	26.9	2.43
IL	200901	2009	20.6	1.01
IL	201001	2010	21.5	1.44
IL	201101	2011	22.7	1.19
IL	201201	2012	31.9	1.89
IL	201301	2013	29.2	3.81
IL	201401	2014	19.3	1.72
IL	201501	2015	25.7	1.5
IL	201601	2016	26.9	0.86
IL	201701	2017	32.1	2.13
IL	201801	2018	24.1	1.3
IL	201901	2019	25.4	3.31
IL	202001	2020	31.8	4.36
IL	202101	2021	29.5	2.46
IL	202201	2022	22.2	1.05
IL	202301	2023	34.4	2.58
IN	200701	2007	32.2	4.75
IN	200801	2008	27.7	3.23
IN	200901	2009	21.3	1.62
IN	201001	2010	23.9	1.52
IN	201101	2011	23.7	1.5
IN	201201	2012	32.4	3.4
IN	201301	2013	29.9	4.71
IN	201401	2014	19.4	2.33
IN	201501	2015	25.3	2.11
IN	201601	2016	27.5	1.34
IN	201701	2017	33.8	3.68
IN	201801	2018	24.5	2.05
IN	201901	2019	27	3.5
IN	202001	2020	34.3	4.65
IN	202101	2021	30.5	2.45
IN	202201	2022	24.3	1.68
IN	202301	2023	36.4	3.35
IA	200701	2007	21.6	0.91
IA	200801	2008	16.6	0.68
IA	200901	2009	13.2	0.68
IA	201001	2010	13.6	1.3
IA	201101	2011	14.8	0.94
IA	201201	2012	26.5	0.57
IA	201301	2013	22	0.95
IA	201401	2014	14.2	0.43
IA	201501	2015	21.6	0.52
IA	201601	2016	19.6	0.59
IA	201701	2017	24.2	1.56
IA	201801	2018	17.8	1.02
IA	201901	2019	18.7	1.28
IA	202001	2020	23.1	1.41
IA	202101	2021	23.9	1.24
IA	202201	2022	14.8	0.78
IA	202301	2023	24.3	1.92
KS	200701	2007	27	0.89
KS	200801	2008	30	0.4
KS	200901	2009	31.4	0.08
KS	201001	2010	27.2	0.48
KS	201101	2011	27.3	0.46
KS	201201	2012	36.1	0.07
KS	201301	2013	32.3	0.84
KS	201401	2014	29.6	0.24
KS	201501	2015	32.1	0.37
KS	201601	2016	32	0.48
KS	201701	2017	33	1.56
KS	201801	2018	29.9	0.39
KS	201901	2019	31.3	1.03
KS	202001	2020	34	1.33
KS	202101	2021	34	1.38
KS	202201	2022	29.8	0.37
KS	202301	2023	33.1	1.07
KY	200701	2007	38	4.18
KY	200801	2008	33.3	3.23
KY	200901	2009	30.2	4.59
KY	201001	2010	29.8	3.52
KY	201101	2011	30.2	2.16
KY	201201	2012	38.7	3.8
KY	201301	2013	36.7	5.6
KY	201401	2014	26.8	2.34
KY	201501	2015	32.2	1.97
KY	201601	2016	31.6	1.88
KY	201701	2017	40.9	4.25
KY	201801	2018	30	2.47
KY	201901	2019	35.1	4.73
KY	202001	2020	40.2	4.47
KY	202101	2021	35.7	4.12
KY	202201	2022	31.2	5.3
KY	202301	2023	42.4	5.45
LA	200701	2007	49.6	7.22
LA	200801	2008	48.4	4.93
LA	200901	2009	50.5	2.47
LA	201001	2010	45.6	3.5
LA	201101	2011	46.9	4.75
LA	201201	2012	55.2	4.7
LA	201301	2013	52.5	10.93
LA	201401	2014	43.4	2.06
LA	201501	2015	47.2	5.86
LA	201601	2016	48.8	4.28
LA	201701	2017	56.8	6.63
LA	201801	2018	44.2	4.7
LA	201901	2019	49.9	5.71
LA	202001	2020	53.7	7.54
LA	202101	2021	50.6	3.52
LA	202201	2022	48.2	2.5
LA	202301	2023	56.1	7.18
ME	200701	2007	17.3	2.61
ME	200801	2008	18.6	2.91
ME	200901	2009	7.9	2.57
ME	201001	2010	20.3	3.07
ME	201101	2011	15.9	1.89
ME	201201	2012	18.2	3.1
ME	201301	2013	15.8	1.42
ME	201401	2014	14.2	3.41
ME	201501	2015	11.7	3.17
ME	201601	2016	20.1	2.5
ME	201701	2017	21.5	3.83
ME	201801	2018	15	4.78
ME	201901	2019	14.1	5.25
ME	202001	2020	20.8	3.06
ME	202101	2021	21.4	1.89
ME	202201	2022	10.8	2.42
ME	202301	2023	24.1	5.42
MD	200701	2007	38.5	3.03
MD	200801	2008	35.7	1.65
MD	200901	2009	29.3	2.49
MD	201001	2010	32.2	2.77
MD	201101	2011	29.6	2.38
MD	201201	2012	37.4	2.27
MD	201301	2013	36.3	3.45
MD	201401	2014	27.8	2.65
MD	201501	2015	30.7	3.79
MD	201601	2016	32.1	3
MD	201701	2017	38.3	3.14
MD	201801	2018	31	2.4
MD	201901	2019	34	3.26
MD	202001	2020	39.1	3.04
MD	202101	2021	35.4	2.07
MD	202201	2022	30.9	3.84
MD	202301	2023	42	2.14
MA	200701	2007	29.9	3.35
MA	200801	2008	28.2	2.57
MA	200901	2009	19.8	3.8
MA	201001	2010	25.9	3.35
MA	201101	2011	22.4	3.55
MA	201201	2012	30.4	3.22
MA	201301	2013	27.5	1.92
MA	201401	2014	23	3.43
MA	201501	2015	21.8	4.03
MA	201601	2016	28.5	2.48
MA	201701	2017	31.5	4.03
MA	201801	2018	24.5	4.5
MA	201901	2019	25.9	5.3
MA	202001	2020	32	1.83
MA	202101	2021	28.8	2.27
MA	202201	2022	23.5	2.85
MA	202301	2023	35.3	6.78
MI	200701	2007	24.1	2.19
MI	200801	2008	22.8	3.19
MI	200901	2009	12.6	1.32
MI	201001	2010	21.3	0.95
MI	201101	2011	16.9	1.43
MI	201201	2012	25.1	2.22
MI	201301	2013	23	3.3
MI	201401	2014	12.3	2.21
MI	201501	2015	16.6	1.28
MI	201601	2016	22.3	1.73
MI	201701	2017	25.2	2.78
MI	201801	2018	20	1.74
MI	201901	2019	16.8	2.29
MI	202001	2020	27	2.84
MI	202101	2021	25	1.05
MI	202201	2022	15.4	0.95
MI	202301	2023	28.2	2.27
MN	200701	2007	14.5	0.44
MN	200801	2008	8.5	0.21
MN	200901	2009	2.2	0.6
MN	201001	2010	8.8	0.89
MN	201101	2011	5	1.05
MN	201201	2012	18.4	0.56
MN	201301	2013	11.4	1.01
MN	201401	2014	2.3	0.8
MN	201501	2015	13.7	0.49
MN	201601	2016	12.6	0.54
MN	201701	2017	14.6	0.98
MN	201801	2018	10.4	0.57
MN	201901	2019	6.6	0.65
MN	202001	2020	14.1	0.88
MN	202101	2021	18.2	0.56
MN	202201	2022	3.6	0.59
MN	202301	2023	15.2	1.04
MS	200701	2007	46.2	4.89
MS	200801	2008	43.5	4.13
MS	200901	2009	45.1	3.7
MS	201001	2010	40.6	5.14
MS	201101	2011	42.2	4.44
MS	201201	2012	50.8	4.23
MS	201301	2013	49.1	9.07
MS	201401	2014	38.5	2.08
MS	201501	2015	43.8	4.7
MS	201601	2016	43.7	3.6
MS	201701	2017	52.9	6.7
MS	201801	2018	40.1	3.66
MS	201901	2019	46.3	6.17
MS	202001	2020	50.1	8.72
MS	202101	2021	46.6	3.76
MS	202201	2022	44.1	3.78
MS	202301	2023	52.2	7.21
MO	200701	2007	31.7	2.86
MO	200801	2008	30.8	1.52
MO	200901	2009	27.7	0.89
MO	201001	2010	25.5	2.12
MO	201101	2011	26.7	1.02
MO	201201	2012	36.3	1.3
MO	201301	2013	33.8	3.33
MO	201401	2014	25.8	1.09
MO	201501	2015	31.2	1.19
MO	201601	2016	30.9	0.9
MO	201701	2017	35.4	1.84
