restriction	state	year
1	AK	2018
1	AZ	2018
1	CA	2018
1	HI	2018
1	ID	2018
1	MT	2018
1	NV	2018
1	OR	2018
1	WA	2018
1	AK	2019
1	AZ	2019
1	CA	2019
1	HI	2019
1	ID	2019
1	MT	2019
1	NV	2019
1	OR	2019
1	WA	2019
1	AK	2020
1	AZ	2020
1	CA	2020
1	HI	2020
1	ID	2020
1	MT	2020
1	NV	2020
1	OR	2020
1	WA	2020
1	DC	2018
1	DC	2019
1	DC	2020
1	CO	2020
0	ME	2007
0	MA	2007
0	NH	2007
0	PR	2007
0	RI	2007
0	CT	2007
0	NY	2007
0	VT	2007
0	DE	2007
0	NJ	2007
0	PA	2007
0	DC	2007
0	MD	2007
0	NC	2007
0	SC	2007
0	VA	2007
0	WV	2007
0	LA	2007
0	MS	2007
0	TX	2007
0	KY	2007
0	MI	2007
0	OH	2007
0	TN	2007
0	IL	2007
0	IN	2007
0	WI	2007
0	AR	2007
0	IA	2007
0	MN	2007
0	MO	2007
0	NE	2007
0	ND	2007
0	SD	2007
0	AK	2007
0	AZ	2007
0	CA	2007
0	HI	2007
0	ID	2007
0	MT	2007
0	NV	2007
0	OR	2007
0	WA	2007
0	CO	2007
0	KS	2007
0	NM	2007
0	OK	2007
0	UT	2007
0	WY	2007
0	AL	2007
0	FL	2007
0	GA	2007
0	ME	2008
0	MA	2008
0	NH	2008
0	PR	2008
0	RI	2008
0	CT	2008
0	NY	2008
0	VT	2008
0	DE	2008
0	NJ	2008
0	PA	2008
0	DC	2008
0	MD	2008
0	NC	2008
0	SC	2008
0	VA	2008
0	WV	2008
0	LA	2008
0	MS	2008
0	TX	2008
0	KY	2008
0	MI	2008
0	OH	2008
0	TN	2008
0	IL	2008
0	IN	2008
0	WI	2008
0	AR	2008
0	IA	2008
0	MN	2008
0	MO	2008
0	NE	2008
0	ND	2008
0	SD	2008
0	AK	2008
0	AZ	2008
0	CA	2008
0	HI	2008
0	ID	2008
0	MT	2008
0	NV	2008
0	OR	2008
0	WA	2008
0	CO	2008
0	KS	2008
0	NM	2008
0	OK	2008
0	UT	2008
0	WY	2008
0	AL	2008
0	FL	2008
0	GA	2008
0	ME	2009
0	MA	2009
0	NH	2009
0	PR	2009
0	RI	2009
0	CT	2009
0	NY	2009
0	VT	2009
0	DE	2009
0	NJ	2009
0	PA	2009
0	DC	2009
0	MD	2009
0	NC	2009
0	SC	2009
0	VA	2009
0	WV	2009
0	LA	2009
0	MS	2009
0	TX	2009
0	KY	2009
0	MI	2009
0	OH	2009
0	TN	2009
0	IL	2009
0	IN	2009
0	WI	2009
0	AR	2009
0	IA	2009
0	MN	2009
0	MO	2009
0	NE	2009
0	ND	2009
0	SD	2009
0	AK	2009
0	AZ	2009
0	CA	2009
0	HI	2009
0	ID	2009
0	MT	2009
0	NV	2009
0	OR	2009
0	WA	2009
0	CO	2009
0	KS	2009
0	NM	2009
0	OK	2009
0	UT	2009
0	WY	2009
0	AL	2009
0	FL	2009
0	GA	2009
0	ME	2010
0	MA	2010
0	NH	2010
0	PR	2010
0	RI	2010
0	CT	2010
0	NY	2010
0	VT	2010
0	DE	2010
0	NJ	2010
0	PA	2010
0	DC	2010
0	MD	2010
0	NC	2010
0	SC	2010
0	VA	2010
0	WV	2010
0	LA	2010
0	MS	2010
0	TX	2010
0	KY	2010
0	MI	2010
0	OH	2010
0	TN	2010
0	IL	2010
0	IN	2010
0	WI	2010
0	AR	2010
0	IA	2010
0	MN	2010
0	MO	2010
0	NE	2010
0	ND	2010
0	SD	2010
0	AK	2010
0	AZ	2010
0	CA	2010
0	HI	2010
0	ID	2010
0	MT	2010
0	NV	2010
0	OR	2010
0	WA	2010
0	CO	2010
0	KS	2010
0	NM	2010
0	OK	2010
0	UT	2010
0	WY	2010
0	AL	2010
0	FL	2010
0	GA	2010
0	ME	2011
0	MA	2011
0	NH	2011
0	PR	2011
0	RI	2011
0	CT	2011
0	NY	2011
0	VT	2011
0	DE	2011
0	NJ	2011
0	PA	2011
0	DC	2011
0	MD	2011
0	NC	2011
0	SC	2011
0	VA	2011
0	WV	2011
0	LA	2011
0	MS	2011
0	TX	2011
0	KY	2011
0	MI	2011
0	OH	2011
0	TN	2011
0	IL	2011
0	IN	2011
0	WI	2011
0	AR	2011
0	IA	2011
0	MN	2011
0	MO	2011
0	NE	2011
0	ND	2011
0	SD	2011
0	AK	2011
0	AZ	2011
0	CA	2011
0	HI	2011
0	ID	2011
0	MT	2011
0	NV	2011
0	OR	2011
0	WA	2011
0	CO	2011
0	KS	2011
0	NM	2011
0	OK	2011
0	UT	2011
